Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2,fare_per_miles,cpi_adj,fare_real,fare_lg_real,fare_low_real
2022,1,30325,30852,"Denver, CO","Washington, DC (Metropolitan Area)",1491,2431,208.94,UA,0.4033,254.87,F9,0.2352,125.71,6154490.0,0.9555,-0.0282,2001510.0,0.625366666666666,0.0405,0.1401341381623072,99.9999998830022,208.94000024445518,254.87000029819228,125.71000014707792
2022,1,30325,32457,"Denver, CO","San Francisco, CA (Metropolitan Area)",967,2426,172.74,UA,0.522,186.78,WN,0.3935,162.36,6154490.0,0.9555,-0.0282,1969430.0,0.843,-0.0436,0.17863495346432265,99.9999998830022,172.74000020210198,186.78000021852847,162.36000018995762
2022,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,2400,208.82,AA,0.4928,237.52,WN,0.3227,184.63,3003365.0,0.7158,0.04475,2001510.0,0.625366666666666,0.0405,0.1715858668857847,99.9999998830022,208.82000024431477,237.52000027789316,184.630000216013
2022,1,30721,33195,"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1204,2389,197.84,B6,0.3997,215.5,WN,0.1436,196.79,1584666.66666666,0.893266666666666,-0.00403333333333333,2088435.0,0.95715,-0.26565,0.1643189368770764,99.9999998830022,197.84000023146842,215.50000025213023,196.79000023023994
2022,1,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,2371,307.22,B6,0.2845,312.78,UA,0.163,266.61,1584666.66666666,0.893266666666666,-0.00403333333333333,2062270.0,0.888139999999999,-0.0548,0.11766373037150518,99.9999998830022,307.22000035944063,312.7800003659457,266.6100003119278
2022,1,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,2342,212.54,AA,0.5703,254.56,NK,0.1778,119.59,3003365.0,0.7158,0.04475,4119170.0,0.9156,-0.03855,0.18959857270294378,99.9999998830022,212.5400002486671,254.56000029782956,119.59000013991766
2022,1,30325,31454,"Denver, CO","Orlando, FL",1546,2317,225.46,UA,0.3601,273.09,F9,0.2793,131.43,6154490.0,0.9555,-0.0282,7232690.0,0.9551,-0.0233,0.14583441138421735,99.9999998830022,225.46000026378323,273.0900003195092,131.4300001537702
2022,1,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,2253,219.23,AA,0.466,267.85,WN,0.4183,190.56,3003365.0,0.7158,0.04475,3088330.0,0.9727,-0.19665,0.2494084186575654,99.9999998830022,219.23000025649424,267.8500003133786,190.56000022295098
2022,1,30325,31453,"Denver, CO","Houston, TX",883,2245,179.45,UA,0.4414,217.76,WN,0.4379,157.14,6154490.0,0.9555,-0.0282,2101435.0,0.82155,0.0049,0.20322763306908265,99.9999998830022,179.45000020995252,217.76000025477438,157.1400001838503
2022,1,31453,32467,"Houston, TX","Miami, FL (Metropolitan Area)",966,2240,169.72,UA,0.3343,213.3,NK,0.1489,119.47,2101435.0,0.82155,0.0049,4119170.0,0.9156,-0.03855,0.1756935817805383,99.9999998830022,169.72000019856864,213.3000002495563,119.47000013977726
2022,1,30325,32211,"Denver, CO","Las Vegas, NV",628,2203,157.45,WN,0.4341,163.48,F9,0.1914,106.81,6154490.0,0.9555,-0.0282,6299930.0,0.99,-0.0975,0.2507165605095541,99.9999998830022,157.450000184213,163.48000019126798,106.81000012496534
2022,1,30977,31453,"Chicago, IL","Houston, TX",945,2183,170.47,UA,0.4245,204.01,WN,0.3741,141.99,3429260.0,0.7898,-0.01385,2101435.0,0.82155,0.0049,0.18039153439153438,99.9999998830022,170.47000019944613,204.01000023868718,141.99000016612516
2022,1,30977,32457,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,2177,256.74,UA,0.5778,274.33,WN,0.1565,224.89,3429260.0,0.7898,-0.01385,1969430.0,0.843,-0.0436,0.13840431266846362,99.9999998830022,256.74000030038013,274.33000032096004,224.89000026311632
