iter	Passed	Remaining
1550	203082	451599
1551	203211	451464
1552	203334	451315
1553	203456	451164
1554	203580	451018
1555	203715	450896
1556	203845	450764
1557	203997	450679
1558	204143	450582
1559	204266	450434
1560	204389	450284
1561	204539	450197
1562	204742	450223
1563	204874	450095
1564	205014	449984
1565	205168	449902
1566	205294	449762
1567	205421	449620
1568	205542	449469
1569	205661	449310
1570	205787	449170
1571	205922	449047
1572	206058	448927
1573	206208	448837
1574	206329	448683
1575	206453	448538
1576	206581	448402
1577	206711	448267
1578	206846	448144
1579	206998	448059
1580	207144	447962
1581	207266	447810
1582	207387	447658
1583	207509	447507
1584	207632	447359
1585	207752	447204
1586	207881	447068
1587	208054	447028
1588	208185	446898
1589	208313	446761
1590	208436	446611
1591	208554	446452
1592	208677	446304
1593	208818	446196
1594	208966	446100
1595	209105	445986
1596	209240	445864
1597	209366	445722
1598	209490	445576
1599	209608	445418
1600	209729	445266
1601	209873	445163
1602	210009	445041
1603	210147	444926
1604	210270	444778
1605	210397	444638
1606	210527	444504
1607	210719	444502
1608	210867	444406
1609	211075	444438
1610	211246	444391
1611	211382	444271
1612	211531	444176
1613	211661	444043
1614	211778	443881
1615	211908	443750
1616	212035	443610
1617	212161	443466
1618	212287	443325
1619	212413	443182
1620	212539	443042
1621	212724	443023
1622	212858	442897
1623	212996	442780
1624	213148	442693
1625	213275	442552
1626	213399	442407
1627	213529	442273
1628	213652	442125
1629	213778	441984
1630	213906	441846
1631	214052	441746
1632	214195	441637
1633	214314	441482
1634	214445	441350
1635	214571	441208
1636	214696	441065
1637	214830	440940
1638	214966	440818
1639	215123	440741
1640	215247	440594
1641	215375	440456
1642	215515	440343
1643	215643	440207
1644	215771	440069
1645	215906	439944
1646	216101	439944
1647	216227	439802
1648	216351	439655
1649	216489	439538
1650	216611	439388
1651	216755	439283
1652	216896	439173
1653	217048	439083
1654	217229	439052
1655	217371	438942
1656	217491	438789
1657	217650	438713
1658	217784	438588
1659	217926	438479
1660	218088	438409
1661	218224	438287
